기능,사용자,Method,URL,param,설명,순서,인증필요여부,카테고리
메인 퍼스널컬러 설정 취소,회원,POST,/api/diagnosis/results/{result_id}/unset-primary/,result_id,선택한 진단 결과의 메인 설정을 취소합니다.,20,로그인 필요,퍼스널컬러 진단 12
아이디 중복 확인,비회원,POST,/accounts/check-username/,username,아이디 사용 가능 여부를 확인합니다.,9,인증 불필요,계정 11
이미지 분석 기록 목록,회원,GET,/api/products/image-analyses/,"limit, page, page_size",내 상품 이미지 분석 기록 목록을 조회합니다.,30,로그인 필요,상품/추천 21
진단 결과 상세 조회,회원,GET,/api/diagnosis/results/{result_id}/,result_id,특정 진단 결과 상세를 조회합니다.,17,로그인 필요,퍼스널컬러 진단 12
게시글 상세 조회,전체,GET,/api/community/posts/{id}/,id,특정 게시글 상세를 조회하고 조회수를 증가시킵니다.,47,인증 선택,커뮤니티 15
리뷰 수정,작성자,PUT/PATCH,/api/products/reviews/{id}/,"content, id, image_url, rating",작성자가 자신의 리뷰를 수정합니다.,43,작성자 권한 필요,상품/추천 21
상품 이미지 색상 분석,회원,POST,/api/products/analyze-image/,"brand_name, category, image, product_name",사용자가 업로드한 상품 이미지에서 색상 후보와 추천 점수를 분석합니다.,29,로그인 필요,상품/추천 21
리뷰 작성,회원,POST,/api/products/reviews/,"content, image_url, product, rating",상품 리뷰를 작성합니다.,41,로그인 필요,상품/추천 21
상품 색상 분석 조회,전체,GET,/api/products/{product_id}/color-analysis/,"product_id, second_tone_key, tone_key",등록된 상품 옵션의 색상 분석과 퍼스널컬러 매칭 결과를 조회합니다.,26,인증 선택,상품/추천 21
임시 비밀번호 발급,비회원,POST,/accounts/find-password/,email,가입 이메일로 임시 비밀번호를 발송합니다.,11,인증 불필요,계정 11
게시글 수정,작성자,PUT/PATCH,/api/community/posts/{id}/,"id, 게시글 필드",작성자가 게시글을 수정합니다.,48,작성자 권한 필요,커뮤니티 15
댓글 수정,작성자,PUT/PATCH,/api/community/comments/{id}/,"content, id",작성자가 자신의 댓글을 수정합니다.,57,작성자 권한 필요,커뮤니티 15
JWT 로그인,비회원,POST,/accounts/jwt-login/,"password, username","JWT access, refresh 토큰을 발급합니다.",4,인증 불필요,계정 11
진단 결과 삭제,회원,DELETE,/api/diagnosis/results/{result_id}/,result_id,특정 진단 결과를 삭제합니다.,18,로그인 필요,퍼스널컬러 진단 12
AI 퍼스널컬러 진단 실행,회원,POST,/api/diagnosis/analyze/,image,얼굴 이미지를 업로드해 AI 퍼스널컬러 진단 결과를 생성합니다.,12,로그인 필요,퍼스널컬러 진단 12
AI 메이크오버 생성 시작,회원,POST,/api/diagnosis/results/{result_id}/makeovers/,result_id,기본 메이크오버 스타일 생성 작업을 시작합니다.,22,로그인 필요,퍼스널컬러 진단 12
댓글 삭제,작성자,DELETE,/api/community/comments/{id}/,id,작성자가 자신의 댓글을 삭제합니다.,58,작성자 권한 필요,커뮤니티 15
진단 결과 수동 생성,회원,POST,/api/diagnosis/results/,"confidence_score, personal_color_id, status, summary, tone_key",Serializer 기반으로 진단 결과를 직접 생성합니다.,16,로그인 필요,퍼스널컬러 진단 12
댓글 목록 조회,전체,GET,/api/community/comments/,post,댓글 목록을 조회하거나 게시글 ID로 필터링합니다.,54,인증 선택,커뮤니티 15
세션 로그인,비회원,POST,/accounts/session-login/,"password, username",세션 기반 로그인을 처리합니다.,2,인증 불필요,계정 11
최신 메인 진단 결과 조회,회원,GET,/api/diagnosis/latest/,-,로그인 사용자의 메인 퍼스널컬러 진단 결과를 조회합니다.,14,로그인 필요,퍼스널컬러 진단 12
상품 Router 생성,회원,POST,/api/products/items/,"brand, category, image_url, name, product_url 등",상품 데이터를 생성합니다.,36,로그인 필요,상품/추천 21
진단 결과 목록 조회,회원,GET,/api/diagnosis/results/,"limit, page, page_size",로그인 사용자의 진단 결과 목록을 조회합니다.,15,로그인 필요,퍼스널컬러 진단 12
게시글 작성,회원,POST,/api/community/posts/,"category, content, image_url, product_ids, title",커뮤니티 게시글을 작성합니다.,46,로그인 필요,커뮤니티 15
찜한 상품 옵션 목록,회원,GET,/api/engagements/liked-options/,"limit, page, page_size",로그인 사용자가 찜한 상품 옵션 목록을 조회합니다.,60,로그인 필요,참여/찜 6
게시글 댓글 목록,전체,GET,/api/community/posts/{id}/comments/,id,특정 게시글의 최상위 댓글과 대댓글을 조회합니다.,52,인증 선택,커뮤니티 15
상품 옵션 찜 생성,회원,POST,/api/engagements/liked-options/,"group_key, option_id, product_id, product_option_id, snapshot",상품 또는 상품 옵션을 찜 목록에 추가합니다.,61,로그인 필요,참여/찜 6
상품 Router 상세,전체,GET,/api/products/items/{id}/,id,DRF Router 기반 상품 상세를 조회합니다.,37,인증 선택,상품/추천 21
데모 진단 결과 조회,비회원,GET,/api/diagnosis/demo/,-,데모용 진단 결과를 조회합니다.,13,인증 불필요,퍼스널컬러 진단 12
상품 옵션 찜 상세,회원,GET,/api/engagements/liked-options/{id}/,id,찜한 상품 옵션 상세를 조회합니다.,63,로그인 필요,참여/찜 6
상품 Router 목록,전체,GET,/api/products/items/,"category, q, second_tone_key, tone_key",DRF Router 기반 상품 목록을 조회합니다.,35,인증 선택,상품/추천 21
추천 색상 매칭 조회,전체,GET,/api/recommendations/{product_id}/color-matching/,"product_id, second_tone_key, tone_key",특정 상품의 옵션별 색상 매칭 분석을 조회합니다.,28,인증 선택,상품/추천 21
댓글 좋아요 토글,회원,POST,/api/community/comments/{id}/like/,id,댓글 좋아요를 추가하거나 취소합니다.,59,로그인 필요,커뮤니티 15
상품 옵션 찜 삭제,회원,DELETE,/api/engagements/liked-options/{id}/,id,찜 항목을 삭제합니다.,65,로그인 필요,참여/찜 6
댓글 상세 조회,전체,GET,/api/community/comments/{id}/,id,특정 댓글 상세를 조회합니다.,56,인증 선택,커뮤니티 15
내 정보 수정,회원,PATCH,/accounts/user/update/,"email, nickname, profile_image","닉네임, 이메일, 프로필 이미지를 수정합니다.",7,로그인 필요,계정 11
회원 탈퇴,회원,DELETE,"/accounts/user/, /accounts/user/delete/","confirmation, password",확인 문구와 비밀번호 검증 후 회원을 탈퇴 처리합니다.,8,로그인 필요,계정 11
리뷰 목록 조회,전체,GET,/api/products/reviews/,product,상품 리뷰 목록을 조회합니다.,40,인증 선택,상품/추천 21
AI 메이크오버 상태 조회,회원,GET,/api/diagnosis/results/{result_id}/makeovers/,result_id,진단 결과의 메이크오버 생성 상태와 스타일별 이미지를 조회합니다.,21,로그인 필요,퍼스널컬러 진단 12
이미지 분석 기록 삭제,회원,DELETE,/api/products/image-analyses/{analysis_id}/,analysis_id,특정 이미지 분석 기록을 삭제합니다.,33,로그인 필요,상품/추천 21
게시글 좋아요 토글,회원,POST,/api/community/posts/{id}/like/,id,게시글 좋아요를 추가하거나 취소합니다.,51,로그인 필요,커뮤니티 15
개인화 추천 상품 조회,전체,GET,/api/recommendations/personalized-products/,"limit, per_category, second_tone_key, tone_key",퍼스널컬러 기준 추천 상품 목록을 조회합니다.,27,인증 선택,상품/추천 21
상품 Router 수정,회원,PUT/PATCH,/api/products/items/{id}/,"id, 상품 필드",상품 데이터를 수정합니다.,38,로그인 필요,상품/추천 21
세션 로그아웃,전체,POST,/accounts/session-logout/,-,현재 세션을 로그아웃합니다.,3,인증 선택,계정 11
